Date,Daily PnL,File Path,File Name
2021-06-10,3403.75125,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-06-17,-1826.45625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-06-24,3328.97625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-07-01,3370.1025,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-07-08,-2356.7925,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-07-15,1485.7725,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-07-22,805.32,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-07-29,1687.665,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-08-05,4226.27625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-08-12,2775.64125,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-08-18,1283.88,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-08-26,3370.1025,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-09-02,1676.44875,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-09-09,3583.21125,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-09-16,-1491.705,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-09-23,666.98625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-09-30,173.47125,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-10-07,1377.34875,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-10-14,3594.4275,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-10-21,3624.3375,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-10-28,-2808.1425,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-11-03,259.4625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-11-11,3403.75125,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-11-18,-1845.2625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-11-25,666.98625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-12-02,2771.9025,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-12-09,3044.83125,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-12-16,3355.1475,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-12-23,3500.95875,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2021-12-30,2592.4425,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-01-06,3370.1025,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-01-13,678.2025,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-01-20,749.23875,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-01-27,3388.79625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-02-03,1418.475,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-02-10,3332.715,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-02-17,222.075,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-02-24,3426.18375,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-03-03,3459.8325,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-03-10,3411.22875,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-03-17,3418.70625,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-03-24,3396.27375,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-03-31,3175.6875,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-04-07,-1743.70875,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-04-13,1650.2775,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-04-21,797.8425,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
2022-04-28,-1100.535,"NIFTY_candle_5T_range_[50, 50]_delta_0,5_time_09,30.csv",pnl_threshold_3331.18.csv
