Filename,Total PnL,Max Drawdown,Max Drawdown Percentage,31M Monthly PnL,11M Monthly PnL,Daily 3M PnL ,min pnl ,Max Investment,ROI % ,ROI with DD,Max Drawdown Date,Time to Recover,Peak Date Before Max Drawdown,Total Trades,No. of Winners,No. of Losers,Win %,Loss %,Max Profit,Max Loss,Median PnL,Median Profit,Median Loss,SD,SD Profit,SD Loss,Last 15 Months Max Drawdown,Last 15 Months Max Drawdown Percentage,Last 15 Months Max Drawdown Date,Last 15 Months Time to Recover,Last 15 Months Peak Date Before Max Drawdown,Sortino Ratio,Dmonthly11_PnL_Ratio,Max_Drawdown_Ratio,Dmonthly11_PnL_Z,Max_Drawdown_Z,Win%_Z,Sortino_Ratio_Z,Final_Z_Score
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_1_exit_full_Wednesday.csv",25468.887500000004,4178.543749999999,104.1678547000157,636.7221875000001,628.8359375,264.8609375,636.7221875000001,45000,56.597527777777785,51.78861665662885,2022-02-23,133,2022-02-02,165,74,91,44.84848484848485,55.15151515151515,2792.8312499999997,-3556.0937499999995,-34.75624999999991,617.3687500000001,-192.10624999999996,711.7396997892622,579.534255534438,428.4989736119276,2486.9562499999993,19.81901976009758,2024-09-25,,2024-09-04,1.170883055496855,0.013974131944444445,0.09285652777777775,0.8731971925057883,0.15357626930635637,0.0666666666666668,1.0,2.752954256532765
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_1_exit_full_Wednesday.csv",27878.825000000008,5290.49375,493.3407545124448,696.9706250000005,711.8210937499999,1751.1796874999995,696.9706250000005,45000,61.95294444444448,55.43557623154179,2022-05-18,126,2022-02-16,165,97,68,58.78787878787879,41.21212121212121,2792.8312499999997,-3556.0937499999995,386.51875,710.7625,-643.85,936.6844264206206,497.01097018471216,566.7368648491562,4654.606249999999,76.91331338733279,2024-04-03,175,2024-02-07,0.9915900303213475,0.015818246527777777,0.11756652777777776,1.0,0.23220129477269422,0.577777777777778,0.8454798955949681,2.9021674897111627
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_1_exit_full_Wednesday.csv",24702.325000000004,5994.44375,202.74916341297902,617.5581250000004,639.0249999999999,978.3515624999994,617.5581250000004,45000,54.89405555555559,48.441208852287964,2022-05-25,175,2022-02-16,165,84,81,50.90909090909091,49.09090909090909,2792.8312499999997,-3556.0937499999995,59.39374999999984,710.175,-420.4375,864.2645084866003,530.0350562422462,516.6203693970601,2838.6000000000004,21.730077317614644,2024-09-25,,2024-09-11,0.9340671672764015,0.014200555555555553,0.13320986111111113,0.888766262796404,0.28197699213051486,0.28888888888888886,0.79590496765407,2.5471386827644036
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_1_exit_full_Wednesday.csv",24011.550000000003,4005.5812499999997,93.28715260745459,600.2887499999998,500.0328124999999,586.4140625,600.2887499999998,45000,53.35899999999999,48.99758229069062,2022-02-23,84,2022-02-02,165,78,87,47.27272727272727,52.72727272727273,2906.4562499999997,-3495.2187499999995,-14.931249999999975,601.30625,-210.80000000000007,709.0844243779237,586.8530808767598,439.5477772378387,2483.675,23.796871341509792,2024-09-18,,2024-09-04,1.0585624000283202,0.011111840277777776,0.08901291666666666,0.6763837067924575,0.14134624010790195,0.1555555555555556,0.9031986916788857,2.5160139361412193
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_1_exit_full_Wednesday.csv",15881.256249999997,2298.843750000001,125.1893249650282,397.03140625000003,347.8339843749998,39.578124999999744,397.03140625000003,45000,35.29168055555556,33.57641538541838,2022-02-23,28,2022-02-02,165,76,89,46.06060606060606,53.93939393939394,2491.40625,-1605.7812500000005,-39.21875000000006,450.584375,-192.64374999999995,513.3823695807909,436.90261129192237,250.88720739173073,2037.6187500000015,33.80379389182382,2024-07-24,98,2024-05-08,1.0444191594068357,0.007729644097222217,0.05108541666666669,0.44382116698788826,0.020664303508366358,0.1111111111111112,0.8910096228887417,2.3697220419238194
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_1_exit_full_Wednesday.csv",17020.681249999998,4759.699999999999,30.941965125524778,425.51703125000006,381.73945312499995,930.134375,425.51703125000006,45000,37.82373611111112,34.20575536026141,2024-06-05,189,2024-02-07,165,94,71,56.96969696969697,43.03030303030303,2491.40625,-2677.175,290.9437500000001,525.9468750000001,-480.9875,705.1047646719751,367.2111451872913,434.172039538062,4759.700000000001,106.48530211655677,2024-06-05,189,2024-02-07,0.6691288355627322,0.008483098958333333,0.1057711111111111,0.4956293314981201,0.19466932650872285,0.5111111111111112,0.5675731703785362,2.124088730923489
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_1_exit_full_Wednesday.csv",23045.175000000003,6162.712499999994,30.973482461634706,576.1293749999999,394.73046875,1911.1328125,576.1293749999999,45000,51.21149999999999,45.04291088944905,2024-06-05,196,2024-01-31,165,93,72,56.36363636363637,43.63636363636363,2906.4562499999997,-3495.2187499999995,375.89375,747.8875,-683.9093750000001,981.1040700735704,513.5027066506358,596.1063346124545,6162.7125000000015,194.57613071276344,2024-06-05,196,2024-01-31,0.7400179286583002,0.008771788194444444,0.13694916666666654,0.5154798364304546,0.2938751303147302,0.4888888888888891,0.6286675161043819,2.0947166666645507
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,3_lots_1_exit_full_Wednesday.csv",17742.575,4324.443750000001,189.5745257972333,443.5643749999998,465.2570312499998,-65.32343750000007,443.5643749999998,45000,39.42794444444442,35.97116085064822,2022-02-23,168,2022-02-02,165,73,92,44.24242424242424,55.75757575757576,2468.1812500000005,-3611.368750000001,-42.05624999999998,565.4312500000001,-250.78125000000006,681.5942461909013,503.8762723027042,428.1299178642678,3119.8062499999996,36.82414787229962,2024-07-24,98,2024-05-08,0.7207260276022703,0.010339045138888885,0.09609875000000002,0.6232456891689191,0.1638927324706523,0.04444444444444446,0.6120411773919238,2.093616356312413
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3_lots_1_exit_full_Wednesday.csv",18906.425000000003,8016.750000000003,0.0,472.6606249999998,500.34609375,1320.3109375,472.6606249999998,45000,42.01427777777776,35.66122970570622,2022-05-18,441,2021-06-09,165,99,66,60.0,40.0,2468.1812500000005,-3611.368750000001,377.1125,626.1875000000001,-724.175,910.8797585352075,434.76923920545255,588.9449783460974,5246.44375,107.54421590042854,2024-04-03,189,2024-02-07,0.5733313593202446,0.011118802083333334,0.17815000000000006,0.6768624061626873,0.4249725228710915,0.6222222222222225,0.48501203328891634,2.0480130276916233
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_1_exit_full_Wednesday.csv",14173.20625,2159.6937500000013,115.93842581874681,354.33015625,231.42539062499992,315.0625000000001,354.33015625,45000,31.49601388888889,30.0536435311351,2022-02-23,28,2022-02-02,165,77,88,46.666666666666664,53.333333333333336,2560.84375,-1548.968750000001,-43.46249999999986,433.8375000000001,-200.37812500000013,520.7072449502655,441.0430089174296,270.09455043266996,1990.4750000000008,57.03754911688117,2024-07-24,196,2024-01-31,0.8120495430161422,0.005142786458333331,0.04799319444444447,0.26594674738103075,0.01082512702233651,0.13333333333333328,0.6907465209075047,2.0125348079328655
