date,ce_entry_price,pe_entry_price,combined_entry_price,total_returns
2023-06-08,15.2,17.85,33.05,-30.1
2023-06-15,14.7,19.1,33.8,22.05
2023-06-22,22.9,43.05,65.95,-20.00000000000001
2023-06-28,33.4,39.9,73.29999999999998,43.300000000000004
2023-07-06,19.7,32.5,52.2,51.099999999999994
2023-07-13,30.8,34.8,65.60000000000001,-31.09999999999999
2023-07-20,32.3,48.05,80.35,12.049999999999992
2023-07-27,36.1,26.3,62.400000000000006,-24.399999999999995
2023-08-03,35.1,43.85,78.95,-38.85
2023-08-10,33.9,32.8,66.69999999999999,54.05
2023-08-17,18.7,22.45,41.15,51.0
2023-08-24,26.849999999999998,33.8,60.65,-2.799999999999999
2023-08-31,13.65,24.2,37.85,4.999999999999999
2023-09-07,18.35,23.7,42.05,-85.25
2023-09-14,13.95,29.05,43.0,42.95
2023-09-21,5.9,32.45,38.35,41.0
2023-09-28,26.849999999999998,56.25,83.10000000000001,5.6
2023-10-05,22.1,19.85,41.949999999999996,41.85
2023-10-12,9.5,12.7,22.2,33.35
2023-10-19,34.050000000000004,19.5,53.550000000000004,31.550000000000004
2023-10-26,22.15,23.35,45.5,45.099999999999994
2023-11-02,14.6,34.75,49.35,21.400000000000002
2023-11-09,14.7,24.700000000000003,39.4,-14.499999999999996
2023-11-16,33.25,22.0,55.25,-110.5
2023-11-23,17.5,27.9,45.400000000000006,20.199999999999996
2023-11-30,29.7,27.35,57.05,-3.650000000000002
2023-12-07,24.4,19.75,44.150000000000006,25.25
2023-12-14,12.45,16.0,28.45,21.549999999999997
2023-12-21,37.0,35.1,72.1,25.5
2023-12-28,32.0,15.25,47.25,34.1
2024-01-04,16.55,23.95,40.5,36.5
2024-01-11,10.8,20.8,31.6,-8.35
2024-01-18,17.45,27.2,44.65,39.55
2024-01-25,35.05,47.8,82.85,18.400000000000006
2024-02-01,68.0,64.4,132.4,152.60000000000002
2024-02-08,20.7,45.15,65.85,-32.15
2024-02-15,25.2,28.5,53.7,15.350000000000001
2024-02-22,27.1,46.7,73.80000000000001,-74.3
2024-02-29,56.55,54.6,111.15,76.4
2024-03-07,31.3,34.2,65.5,59.75
2024-03-14,41.45,28.5,69.95,64.6
2024-03-21,26.5,52.05,78.54999999999998,-10.250000000000007
2024-03-28,28.0,34.95,62.95,-192.64999999999998
2024-04-04,37.5,36.85,74.35,13.700000000000005
2024-04-10,26.8,16.9,43.7,23.900000000000002
2024-04-18,24.6,31.7,56.3,-223.5
2024-04-25,46.1,36.25,82.35,13.550000000000008
2024-05-02,42.75,23.8,66.55,74.65
2024-05-09,24.45,49.5,73.95,-11.400000000000006
2024-05-16,38.7,53.6,92.30000000000001,-161.2
2024-05-23,53.4,48.7,102.1,-15.200000000000006
2024-06-13,19.95,19.5,39.45,50.7
2024-06-20,34.8,40.15,74.95,22.89999999999999
2024-06-27,61.2,46.65,107.85,5.800000000000011
2024-07-04,18.2,17.45,35.65,44.45
2024-07-11,15.55,28.35,43.900000000000006,0.8499999999999988
