Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83000,83500,84100,84500,2025-07-01 00:00:00,0.25,Tuesday,27.05,87.6,82.4,26.45,0,262.79999999999995,247.20000000000002,0,26.279999999999998,24.720000000000002,,,,
2025-07-01,,0,Long,2025-07-01 12:20:00,2025-07-01 12:20:00,2025-07-01 10:11:00,2025-07-01 10:11:00,,83000,83500,84100,84500,2025-07-01 00:00:00,0.25,Tuesday,"[6.65, 6.65]","[25.85, 25.85]","[24.45, 24.45]","[6.5, 6.5]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,81600,82500,85100,85800,2025-07-08 00:00:00,4.0,Wednesday,28.9,87.4,88.3,29.2,0,262.20000000000005,264.9,0,26.220000000000002,26.49,,,,
2025-07-02,,0,Long,2025-07-08 09:15:00,2025-07-08 09:15:00,2025-07-03 15:04:00,2025-07-03 15:04:00,,81600,82500,85100,85800,2025-07-08 00:00:00,4.0,Wednesday,"[3.0, 3.0]","[15.0, 15.0]","[26.35, 26.35]","[9.15, 9.15]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81400,82300,84500,85200,2025-07-08 00:00:00,3.0,Thursday,34.6,107.5,89.8,29.2,0,322.5,269.4,0,32.25,26.939999999999998,,,,
2025-07-03,,0,Long,2025-07-07 09:22:00,2025-07-07 09:22:00,2025-07-04 11:46:00,2025-07-04 11:46:00,,81400,82300,84500,85200,2025-07-08 00:00:00,3.0,Thursday,"[5.85, 5.85]","[30.55, 30.55]","[25.3, 25.3]","[7.9, 7.9]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,81800,82400,84200,84800,2025-07-08 00:00:00,2.0,Friday,27.75,77.75,86.1,29.35,0,233.25,258.29999999999995,0,23.325,25.83,,,,
2025-07-04,,0,Long,2025-07-07 13:50:00,2025-07-07 13:50:00,2025-07-08 09:15:00,2025-07-08 09:15:00,,81800,82400,84200,84800,2025-07-08 00:00:00,2.0,Friday,"[6.4, 6.4]","[22.85, 22.85]","[19.8, 19.8]","[3.8, 3.8]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82200,82700,84100,84600,2025-07-08 00:00:00,1.0,Monday,24.25,69.25,51.6,15.9,0,207.75,154.8,0,20.775,15.48,,,,
2025-07-07,,0,Long,2025-07-08 09:22:00,2025-07-08 09:22:00,2025-07-08 09:35:00,2025-07-08 09:35:00,,82200,82700,84100,84600,2025-07-08 00:00:00,1.0,Monday,"[5.0, 5.0]","[18.4, 18.4]","[13.7, 13.7]","[3.45, 3.45]",0,,,0,,,Exit,Target hit,Target hit,Exit
