Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit
2025-07-01,12.51,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83682.22,82400,83400,84000,85000,2025-07-01 00:00:00,0.25,Tuesday,1.05,3.05,2.95,1.5,0,9.149999999999999,8.850000000000001,0,0.305,0.29500000000000004,,,,
2025-07-01,,0,Long,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,,82400,83400,84000,85000,2025-07-01 00:00:00,0.25,Tuesday,"[0.75, 0.75]","[1.2, 1.2]","[1.25, 1.25]","[0.65, 0.65]",0,,,0,,,Exit,Universal exit,Universal exit,Exit
2025-07-02,12.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83259.19,81000,82000,84600,85600,2025-07-08 00:00:00,4.0,Wednesday,24.2,89.95,79.05,16.25,0,269.85,237.14999999999998,0,8.995000000000001,7.905,,,,
2025-07-02,,0,Long,2025-07-07 14:21:00,2025-07-07 14:21:00,2025-07-08 09:16:00,2025-07-08 09:16:00,,81000,82000,84600,85600,2025-07-08 00:00:00,4.0,Wednesday,"[2.9, 2.9]","[8.95, 8.95]","[5.75, 5.75]","[1.35, 1.35]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-03,12.43,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83436.63,81300,82300,84500,85500,2025-07-08 00:00:00,3.0,Thursday,19.5,79.85,91.0,16.5,0,239.54999999999998,273.0,0,7.984999999999999,9.1,,,,
2025-07-03,,0,Long,2025-07-08 09:21:00,2025-07-08 09:21:00,2025-07-08 09:16:00,2025-07-08 09:16:00,,81300,82300,84500,85500,2025-07-08 00:00:00,3.0,Thursday,"[1.55, 1.55]","[7.15, 7.15]","[7.5, 7.5]","[1.4, 1.4]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-04,12.35,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83193.38,81300,82300,84100,85100,2025-07-08 00:00:00,2.0,Friday,12.95,64.15,64.75,10.45,0,192.45000000000002,194.25,0,6.415000000000001,6.4750000000000005,,,,
2025-07-04,,0,Long,2025-07-08 09:22:00,2025-07-08 09:22:00,2025-07-08 10:44:00,2025-07-08 10:44:00,,81300,82300,84100,85100,2025-07-08 00:00:00,2.0,Friday,"[1.45, 1.45]","[6.2, 6.2]","[6.35, 6.35]","[1.45, 1.45]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-07,12.53,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83429.35,81700,82700,84100,85100,2025-07-08 00:00:00,1.0,Monday,5.4,44.45,51.2,4.5,0,133.35000000000002,153.60000000000002,0,4.445,5.120000000000001,,,,
2025-07-07,,0,Long,2025-07-08 11:31:00,2025-07-08 11:31:00,2025-07-08 11:10:00,2025-07-08 11:10:00,,81700,82700,84100,85100,2025-07-08 00:00:00,1.0,Monday,"[1.5, 1.5]","[4.4, 4.4]","[5.0, 5.0]","[1.6, 1.6]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-08,12.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83498.58,82200,83200,83800,84800,2025-07-08 00:00:00,0.25,Tuesday,0.75,2.3,1.6,0.6,0,6.8999999999999995,4.800000000000001,0,0.22999999999999998,0.16000000000000003,,,,
2025-07-08,,0,Long,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,,82200,83200,83800,84800,2025-07-08 00:00:00,0.25,Tuesday,"[0.4, 0.4]","[0.9, 0.9]","[2.35, 2.35]","[0.45, 0.45]",0,,,0,,,Exit,Universal exit,Universal exit,Exit
2025-07-09,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83605.34,81400,82400,84800,85800,2025-07-15 00:00:00,4.0,Wednesday,21.0,70.65,75.2,14.85,0,211.95000000000002,225.60000000000002,0,7.065000000000001,7.5200000000000005,,,,
