Filename,Total PnL,Max Drawdown,Max Drawdown Percentage,31M Monthly PnL,11M Monthly PnL,Daily 3M PnL ,min pnl ,Max Investment,ROI % ,ROI with DD,Max Drawdown Date,Time to Recover,Peak Date Before Max Drawdown,Total Trades,No. of Winners,No. of Losers,Win %,Loss %,Max Profit,Max Loss,Median PnL,Median Profit,Median Loss,SD,SD Profit,SD Loss,Last 15 Months Max Drawdown,Last 15 Months Max Drawdown Percentage,Last 15 Months Max Drawdown Date,Last 15 Months Time to Recover,Last 15 Months Peak Date Before Max Drawdown,Sortino Ratio,Dmonthly11_PnL_Ratio,Max_Drawdown_Ratio,Dmonthly11_PnL_Z,Max_Drawdown_Z,Win%_Z,Sortino_Ratio_Z,Final_Z_Score
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,3_lots_1_exit_full_Thursday.csv",25277.46875,8029.60624999999,37.054159467026096,631.9367187500005,272.8796875000001,1708.0359375,631.9367187500005,45000,56.17215277777782,47.666710235096275,2023-11-16,280,2023-06-01,165,77,88,46.666666666666664,53.333333333333336,3859.34375,-2063.20625,-80.26875000000018,873.3249999999998,-617.2093749999997,1092.2876911106227,924.3231536255184,415.2533822250559,8029.606249999998,1058.5816222273486,2023-11-16,280,2023-06-01,1.1967072154530316,0.006063993055555558,0.1784356944444442,0.5125410729610415,0.35032760789434175,0.3636363636363634,1.0,2.344031646884881
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_1_exit_full_Thursday.csv",32161.64375,10299.54375,60.776931772290325,804.0410937500003,519.1664062500001,1894.8171874999996,804.0410937500003,45000,71.47031944444447,58.15896763162716,2022-06-23,161,2022-04-28,165,89,76,53.93939393939394,46.06060606060606,3801.431250000001,-4146.725,50.30000000000018,635.5625,-508.890625,1233.829235175533,908.9060246811617,850.745094342628,4936.781250000001,596.2566239413017,2023-07-27,259,2023-06-01,0.7864178097517789,0.011537031250000003,0.22887875000000002,1.0,0.8474402510816469,0.9090909090909092,0.6468030591297953,2.253908262593603
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_1_exit_full_Thursday.csv",29400.181249999994,10996.168749999999,72.27928752160405,735.0045312500004,506.88125,1615.2421874999995,735.0045312500004,45000,65.33373611111114,52.50391572548434,2022-06-23,189,2022-04-28,165,82,83,49.696969696969695,50.303030303030305,4257.03125,-3962.13125,-11.043750000000273,809.6187499999999,-551.6187500000001,1237.5151332947196,977.3527435664773,732.6959829982096,6131.356249999998,747.373192546205,2023-11-16,273,2023-06-01,0.818899714441953,0.011264027777777779,0.24435930555555554,0.9756848070633894,1.0,0.5909090909090908,0.674765051837354,1.9459044043552889
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_1_exit_full_Thursday.csv",14396.912500000002,7530.718750000001,66.23050390952439,359.92281250000013,144.06015625000032,1276.0796874999996,359.92281250000013,45000,31.9931388888889,27.40665432071592,2022-06-23,203,2022-04-28,165,87,78,52.72727272727273,47.27272727272727,2775.65625,-3123.775,57.41250000000059,387.3062499999999,-283.3625000000003,804.2983065249381,609.2781152558956,586.0869163241165,5046.556249999996,1442.2337727288952,2023-11-30,378,2023-06-01,0.3837704037324281,0.0032013368055555627,0.16734930555555558,0.25757713985294944,0.2410720518369174,0.8181818181818183,0.3001847207588816,1.7257807178658229
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_4_exit_3_4th_Thursday.csv",44222.825000000026,25779.03749999999,72.16844458317526,1105.5706250000007,269.4531250000019,4616.678125000002,1105.5706250000007,180000,24.568236111111126,21.490442144769013,2022-06-23,294,2022-01-27,165,83,82,50.303030303030305,49.696969696969695,11102.625000000002,-10573.575,1.5749999999989086,1453.7250000000013,-1134.2499999999986,3103.7900356429964,2503.4588396111203,1951.6783906023345,22410.74999999999,1601.1681491801514,2023-11-30,378,2023-06-01,0.2897867946498357,0.001496961805555566,0.14321687499999994,0.10577611467184211,0.0032487041455016414,0.6363636363636366,0.2192790898587185,1.6399883185668773
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_1_exit_full_Thursday.csv",14704.662500000002,8187.86875,77.70104239260984,367.6165625000002,208.71250000000046,1124.2921874999995,367.6165625000002,45000,32.6770277777778,27.646647338167693,2022-06-23,399,2022-04-21,165,77,88,46.666666666666664,53.333333333333336,3830.593749999999,-2447.86875,-28.22499999999991,394.8687500000001,-284.6812500000001,821.1122057529748,705.366085103179,489.410629553692,5850.099999999995,1595.7719585379145,2023-11-23,280,2023-06-01,0.4752993671431493,0.004638055555555565,0.18195263888888888,0.3855392251610066,0.38498683956589025,0.3636363636363634,0.37897727408458626,1.5613478414978843
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_3_exit_2_3rd_Thursday.csv",29825.912500000002,19289.775000000005,75.96900751280813,745.6478125,125.39296874999985,3340.5984375000003,745.6478125,135000,22.093268518518517,19.331101169860414,2022-06-23,294,2022-01-27,165,81,84,49.09090909090909,50.90909090909091,8326.96875,-7449.800000000001,-56.80000000000018,1206.1062499999998,-941.0125000000012,2330.997879261637,1873.201775189279,1403.9342713212736,17364.19374999999,1654.146274663903,2023-11-30,378,2023-06-01,0.2426380062503986,0.0009288368055555545,0.14288722222222225,0.05517577294480519,0.0,0.5454545454545457,0.17869113511990345,1.5065941807919816
"NIFTY_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_4_exit_3_4th_Thursday.csv",100063.57500000001,38563.78749999999,66.98276700588993,2501.5893750000014,414.9789062500005,6216.4,2501.5893750000014,180000,55.59087500000003,45.78232109928093,2022-06-23,168,2022-04-07,165,91,74,55.15151515151515,44.84848484848485,15205.725000000002,-16363.62499999999,200.8124999999964,2252.3,-2448.3687500000005,5021.5233323704,3642.7655975243406,3238.591639428562,29774.7375,899.0364146926942,2023-11-16,294,2023-06-01,0.6056921011956036,0.002305438368055558,0.21424326388888884,0.1777834904092219,0.7032086000665202,1.0,0.4912256386269622,1.4658005289696638
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_4_exit_3_4th_Thursday.csv",45846.46250000003,29993.587500000005,88.28043714045624,1146.1615625,552.6023437500013,4009.5281250000003,1146.1615625,180000,25.470256944444444,21.83231547487136,2022-06-23,483,2022-01-27,165,76,89,46.06060606060606,53.93939393939394,15322.374999999996,-8233.55,-255.97500000000127,1592.618750000001,-1290.125,3261.7586198984263,2826.5420291887194,1722.3934258341274,26559.174999999996,1811.1821467539548,2023-11-23,280,2023-06-01,0.351929793395749,0.0030700130208333406,0.1666310416666667,0.24588072025544516,0.2339936134596408,0.3181818181818183,0.2727747852107434,1.443752801097457
"NIFTY_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_3_exit_2_3rd_Thursday.csv",31141.800000000003,22450.687500000007,93.22344445926612,778.5450000000002,343.8898437500001,2885.235937499999,778.5450000000002,135000,23.068000000000005,19.77876406541572,2022-06-23,483,2022-01-27,165,75,90,45.45454545454545,54.54545454545455,11491.781250000002,-5785.68125,-221.48750000000015,1242.84375,-1144.2250000000004,2471.509844981894,2097.290854691166,1271.888467551151,20709.074999999993,1882.9855428259675,2023-11-23,280,2023-06-01,0.29369320465591636,0.002547332175925927,0.16630138888888893,0.1993278852869242,0.23074490931413832,0.2727272727272726,0.22264191630453972,1.3275885286409619
