date,ce_entry_price,pe_entry_price,combined_entry_price,total_returns
2023-08-11,128.6,123.35,251.95,179.3
2023-08-18,89.95,92.75,182.7,32.050000000000004
2023-08-25,94.35,123.25,217.60000000000002,58.05
2023-09-15,120.95,104.75,225.7,90.1
2023-09-22,68.9,116.85,185.75,-284.6
2023-09-29,80.25,136.15,216.4,-86.89999999999996
2023-10-06,94.0,76.2,170.2,27.65
2023-10-13,89.7,98.8,188.5,-169.84999999999997
2023-10-27,115.4,74.7,190.10000000000002,147.3
2023-11-03,89.2,72.75,161.95,152.55
2023-11-10,90.15,69.1,159.25000000000003,29.90000000000001
2023-11-17,82.35,80.2,162.55,65.14999999999999
2023-11-24,70.25,64.0,134.25,39.5
2023-12-01,101.0,58.65,159.65,141.65
2023-12-08,82.35,50.300000000000004,132.65,68.64999999999999
2023-12-15,106.25,64.4,170.65,-390.59999999999997
2023-12-22,109.6,89.35,198.95,69.19999999999999
2023-12-29,82.8,149.75,232.54999999999998,148.85
2024-01-05,96.0,51.4,147.4,41.55
2024-01-12,84.45,115.4,199.85000000000002,41.500000000000014
2024-01-19,127.05,118.75,245.8,169.5
2024-01-25,195.05,216.85,411.9,387.9
2024-02-02,261.90000000000003,148.2,410.1,191.94999999999996
2024-02-09,141.55,132.15,273.70000000000005,184.5
2024-02-16,90.0,129.35,219.35,194.6
2024-02-23,100.55,96.75,197.3,40.550000000000004
2024-03-01,244.4,204.25,448.65,189.75
2024-03-07,104.45,87.45,191.9,163.65
2024-03-15,111.15,111.9,223.05,180.85000000000002
2024-03-22,194.25,124.75,319.0,278.75
2024-03-28,150.25,140.85,291.1,96.15
2024-04-05,83.35000000000001,138.95,222.29999999999998,183.89999999999998
2024-04-12,108.55,145.0,253.55,-305.5
2024-04-19,224.2,232.15,456.35,-325.6499999999999
2024-04-26,116.15,180.20000000000002,296.35,-72.95
2024-05-03,175.25,263.65,438.9,321.15
2024-05-10,170.0,128.5,298.5,135.6
2024-05-17,180.8,186.05,366.85,276.95
2024-05-24,93.95,168.8,262.75,195.55
2024-06-07,321.3,282.95,604.25,84.25
2024-06-14,68.05,109.4,177.45,100.65
2024-06-21,128.2,204.65,332.85,-514.7
2024-06-28,162.0,166.75,328.75,-450.2500000000001
2024-07-05,73.1,163.0,236.1,-255.15
2024-07-12,199.05,170.0,369.05,340.1
2024-07-19,109.30000000000001,115.15,224.45000000000002,61.300000000000004
2024-07-26,145.75,131.3,277.05,-128.25
2024-08-02,106.44999999999999,161.8,268.25,55.85000000000002
2024-08-09,121.0,100.75,221.75,207.45
2024-08-16,197.70000000000002,184.45,382.15000000000003,-47.35000000000003
2024-08-23,79.1,110.65,189.74999999999997,170.2
2024-08-30,108.05000000000001,171.6,279.65,246.25
2024-09-06,140.3,173.05,313.35,106.80000000000004
2024-09-13,79.45,107.7,187.15000000000003,175.9
2024-09-20,261.95,178.25,440.2,-15.199999999999989
2024-09-27,119.69999999999999,125.1,244.79999999999998,133.54999999999998
2024-10-18,180.45,144.0,324.45000000000005,147.25
2024-10-25,191.75,151.6,343.34999999999997,329.1
2024-10-31,93.3,105.0,198.3,61.95
2024-11-08,91.45,54.8,146.25,32.55000000000001
2024-11-14,78.6,183.45,262.05,143.49999999999997
2024-11-22,325.1,382.75,707.85,19.800000000000068
2024-11-29,139.5,124.15,263.65000000000003,94.2
2024-12-06,124.85,132.2,257.04999999999995,165.1
2024-12-13,350.2,304.0,654.2,-766.5
2024-12-20,181.0,185.15,366.15,-125.7
2025-01-07,89.0,113.55,202.54999999999998,77.19999999999999
2025-01-14,66.4,142.9,209.3,75.40000000000002
2025-01-21,394.6,559.65,954.25,-183.7
2025-01-28,232.05,193.3,425.35,232.8
2025-02-04,287.6,290.85,578.45,-204.7
2025-02-11,111.4,87.9,199.3,-561.0999999999999
2025-02-18,157.6,204.35,361.94999999999993,170.95
2025-02-25,57.9,40.55,98.44999999999999,32.75
2025-03-04,80.7,72.35,153.05,47.0
2025-03-11,122.2,70.7,192.9,-119.30000000000004
2025-03-18,162.05,111.05,273.1,-263.84999999999997
2025-03-25,177.45,130.65,308.1,-20.150000000000034
2025-04-01,139.0,217.3,356.3,181.45000000000002
2025-04-08,338.3,452.5,790.8000000000001,3.0999999999999943
2025-04-15,73.3,122.8,196.1,105.6
