date,ce_entry_price,pe_entry_price,combined_entry_price,total_returns
2023-08-11,123.65,130.75,254.4,109.89999999999999
2023-08-18,63.0,113.4,176.4,78.40000000000002
2023-08-25,93.7,170.8,264.5,7.849999999999996
2023-09-15,139.85,143.85,283.7,135.20000000000002
2023-09-22,149.2,115.55,264.75,-46.10000000000002
2023-09-29,126.25,118.35,244.6,-121.10000000000001
2023-10-06,79.05,138.85,217.89999999999998,73.54999999999998
2023-10-13,61.2,106.25,167.45,-236.25000000000006
2023-10-27,99.55,125.45,225.0,94.9
2023-11-03,102.0,58.3,160.3,158.1
2023-11-10,57.25,85.15,142.4,55.05000000000001
2023-11-17,94.25,108.65,202.9,112.6
2023-11-24,75.8,107.4,183.2,60.8
2023-12-01,90.5,131.4,221.9,35.349999999999994
2023-12-08,110.9,110.15,221.05,101.85000000000001
2023-12-15,60.75,110.35,171.1,-485.05
2023-12-22,151.95,144.3,296.25,-10.199999999999996
2023-12-29,133.05,129.9,262.95000000000005,298.8
2024-01-05,119.25,107.3,226.54999999999998,98.55
2024-01-12,70.7,117.85,188.55,11.350000000000001
2024-01-19,156.0,113.35,269.35,182.25
2024-01-25,207.3,182.35,389.65,10.449999999999989
2024-02-02,161.7,131.1,292.79999999999995,-182.75
2024-02-09,246.4,188.8,435.20000000000005,446.15
2024-02-16,200.15,192.95,393.1,428.90000000000003
2024-02-23,173.25,168.1,341.35,304.05
2024-03-01,196.7,201.45,398.15,-8.799999999999983
2024-03-07,151.04999999999998,176.0,327.05,325.8
2024-03-15,149.0,160.0,309.0,147.5
2024-03-22,202.35,156.85,359.2,-302.29999999999995
2024-03-28,148.2,133.4,281.6,-956.5000000000001
2024-04-05,167.5,185.9,353.4,389.65
2024-04-12,108.3,177.95,286.25,-58.650000000000034
2024-04-19,289.35,250.45,539.8,244.85
2024-04-26,149.1,180.95,330.04999999999995,-69.20000000000007
2024-05-03,185.1,195.2,380.29999999999995,-741.8000000000001
2024-05-10,215.7,151.9,367.6,383.95
2024-05-17,124.6,236.35,360.95,123.09999999999997
2024-05-24,178.7,191.05,369.75,365.4
2024-06-07,309.15,302.45,611.5999999999999,184.74999999999994
2024-06-14,114.75,198.1,312.85,137.8
2024-06-21,144.8,182.25,327.05,180.50000000000006
2024-06-28,184.2,171.1,355.29999999999995,-200.25
2024-07-05,131.4,182.65,314.05,-5.849999999999989
2024-07-12,169.5,164.05,333.55,-394.4
2024-07-19,191.95,186.95,378.9,113.85
2024-07-26,166.95,145.3,312.25,-526.2
2024-08-02,178.6,201.15,379.75,243.35000000000002
2024-08-09,205.05,192.55,397.6,450.5
2024-08-16,175.0,175.75,350.75,-336.84999999999997
2024-08-23,163.0,190.64999999999998,353.65000000000003,353.1
2024-08-30,168.8,165.8,334.6,369.1
2024-09-06,191.85,214.1,405.95,-421.25
2024-09-13,143.0,206.5,349.5,271.55
2024-09-20,211.25,189.75,401.0,-207.85000000000002
2024-09-27,133.6,131.65,265.25,167.3
2024-10-18,164.1,190.25,354.35,-264.6500000000001
2024-10-25,186.9,176.0,362.9,-471.6
2024-10-31,161.7,164.95,326.65,76.75
2024-11-08,266.85,248.05,514.9000000000001,554.85
2024-11-14,198.05,215.1,413.15,318.79999999999995
2024-11-22,261.8,278.45,540.25,-617.8000000000001
2024-11-29,333.9,344.15,678.05,334.7
2024-12-06,265.0,287.95,552.95,660.2
2024-12-13,236.5,221.1,457.6,-1272.15
2024-12-20,226.45,290.85,517.3,-285.3999999999999
2025-01-07,182.0,159.0,341.0,394.25
2025-01-14,142.20000000000002,169.0,311.2,105.60000000000001
2025-01-21,226.6,260.3,486.9,-1479.75
2025-01-28,246.35,283.5,529.85,339.65
2025-02-04,253.95,251.55,505.5,124.75
2025-02-11,253.05,196.0,449.05,47.449999999999974
2025-02-18,272.05,266.25,538.3,595.45
2025-02-25,123.1,107.4,230.5,155.45
2025-03-04,140.25,166.15,306.4,161.95000000000002
2025-03-11,174.65,112.0,286.65,-146.9
2025-03-18,204.9,215.75,420.65,132.80000000000004
2025-03-25,214.3,190.8,405.1,-48.199999999999974
2025-04-01,136.15,123.3,259.45,-1456.6
2025-04-08,240.25,193.5,433.75,-426.74999999999994
2025-04-15,175.25,189.9,365.15,426.95000000000005
