,"SENSEX_candle_5T_range_[50, 50]_delta_0,4_time_11,45_pnl_threshold_6788.11.csv","SENSEX_candle_5T_range_[66, 66]_delta_0,3_time_10,15_pnl_threshold_4285.63.csv","SENSEX_candle_5T_range_[50, 50]_delta_0,5_time_13,00_pnl_threshold_5447.79.csv","SENSEX_candle_5T_range_[70, 88]_delta_0,4_time_11,45_pnl_threshold_4228.37.csv"
"SENSEX_candle_5T_range_[50, 50]_delta_0,4_time_11,45_pnl_threshold_6788.11.csv",1.0,0.36148771362702914,0.13830269709591614,0.7045821101136229
"SENSEX_candle_5T_range_[66, 66]_delta_0,3_time_10,15_pnl_threshold_4285.63.csv",0.36148771362702914,1.0,-0.3859863346283282,0.6624672696034719
"SENSEX_candle_5T_range_[50, 50]_delta_0,5_time_13,00_pnl_threshold_5447.79.csv",0.13830269709591614,-0.3859863346283282,1.0,0.043668402874482974
"SENSEX_candle_5T_range_[70, 88]_delta_0,4_time_11,45_pnl_threshold_4228.37.csv",0.7045821101136229,0.6624672696034719,0.043668402874482974,1.0
