Date,Daily PnL,File Path,File Name
2021-06-10,2219.36456785125,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-06-17,-252.72060808125,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-06-24,2821.41345394875,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-07-01,1970.369040885,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-07-08,747.6895129462499,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-07-15,2739.65372867625,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-07-22,1762.253376555,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-07-29,1728.8062162162498,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-08-05,1583.868521415,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-08-12,1985.2344454800002,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-08-18,2468.3600948175,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-08-26,2817.6971028000003,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-09-02,-377.5877026725,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-09-09,606.46816929375,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-09-16,350.03994002999997,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-09-23,736.5404595,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-09-30,-396.50695942875,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-10-07,-203.530540515,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-10-14,390.91980266625,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
2021-10-21,1583.868521415,"NIFTY_candle_5T_range_[50, 75]_delta_0,45_time_13,00.csv",pnl_threshold_2768.29.csv
