type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
CE,22900.0,0.42108433374421744,2025-02-21 11:45:00,2025-02-27,133.45,2025-02-21 15:20:00,103.0,Final Expiry Exit,30.44999999999999
PE,22800.0,-0.4816079809769288,2025-02-21 11:45:00,2025-02-27,134.2,2025-02-21 15:20:00,133.75,Final Expiry Exit,0.44999999999998863
CE,23450.0,0.060523647232711364,2025-02-21 11:50:00,2025-02-27,9.75,2025-02-21 15:20:00,6.45,Final Expiry Exit,3.3
CE,22650.0,0.44225158041517565,2025-02-24 11:45:00,2025-02-27,121.0,2025-02-24 15:20:00,83.2,Final Expiry Exit,37.8
PE,22600.0,-0.4980758469344236,2025-02-24 11:45:00,2025-02-27,89.5,2025-02-24 15:20:00,96.0,Final Expiry Exit,-6.5
CE,23150.0,0.055824266519247934,2025-02-24 12:00:00,2025-02-27,8.4,2025-02-24 15:20:00,5.55,Final Expiry Exit,2.8500000000000005
CE,22600.0,0.45070664600354,2025-02-25 11:45:00,2025-02-27,56.0,2025-02-25 15:20:00,49.15,Final Expiry Exit,6.850000000000001
PE,22550.0,-0.417151567938112,2025-02-25 11:45:00,2025-02-27,42.65,2025-02-25 15:20:00,45.95,Final Expiry Exit,-3.3000000000000043
CE,22550.0,0.5491080185527516,2025-02-27 11:45:00,2025-02-27,11.85,2025-02-27 15:20:00,0.15,Final Expiry Exit,11.7
PE,22500.0,-0.08181411992623261,2025-02-27 11:45:00,2025-02-27,8.2,2025-02-27 15:20:00,0.2,Final Expiry Exit,7.999999999999999
PE,22550.0,-0.467293898626519,2025-02-27 14:25:00,2025-02-27,4.65,2025-02-27 15:20:00,3.45,Final Expiry Exit,1.2000000000000002
CE,22300.0,0.4618298221870497,2025-02-28 11:45:00,2025-03-06,129.3,2025-02-28 15:20:00,98.15,Final Expiry Exit,31.150000000000006
PE,22250.0,-0.4819493202309822,2025-02-28 11:45:00,2025-03-06,111.8,2025-02-28 15:20:00,176.8,Final Expiry Exit,-65.00000000000001
CE,22100.0,0.517512535835574,2025-03-03 11:45:00,2025-03-06,105.1,2025-03-03 15:20:00,146.15,Final Expiry Exit,-41.05000000000001
PE,22000.0,-0.3376273204059541,2025-03-03 11:45:00,2025-03-06,96.9,2025-03-03 15:20:00,60.75,Final Expiry Exit,36.150000000000006
PE,21850.0,-0.17988521542961988,2025-03-03 12:35:00,2025-03-06,30.4,2025-03-03 15:20:00,29.05,Final Expiry Exit,1.3499999999999979
CE,22100.0,0.40839414297318066,2025-03-04 11:45:00,2025-03-06,85.2,2025-03-04 15:20:00,86.4,Final Expiry Exit,-1.2000000000000028
PE,22050.0,-0.5058057014812762,2025-03-04 11:45:00,2025-03-06,85.2,2025-03-04 15:20:00,80.55,Final Expiry Exit,4.650000000000006
CE,22350.0,0.09741155850809557,2025-03-04 13:05:00,2025-03-06,12.75,2025-03-04 15:20:00,17.0,Final Expiry Exit,-4.25
CE,22350.0,0.5134527084532364,2025-03-05 11:45:00,2025-03-06,71.15,2025-03-05 15:20:00,69.7,Final Expiry Exit,1.4500000000000028
PE,22300.0,-0.3954510631359079,2025-03-05 11:45:00,2025-03-06,63.95,2025-03-05 15:20:00,63.2,Final Expiry Exit,0.75
PE,22050.0,-0.11800164531732854,2025-03-05 11:50:00,2025-03-06,12.8,2025-03-05 15:20:00,11.65,Final Expiry Exit,1.1500000000000004
CE,22400.0,0.7558261356024614,2025-03-06 11:45:00,2025-03-06,27.9,2025-03-06 12:55:00,85.1,Exit Max Delta Leg,-57.199999999999996
PE,22350.0,-0.0074900095236119,2025-03-06 11:45:00,2025-03-06,33.0,2025-03-06 15:20:00,0.1,Final Expiry Exit,32.9
PE,22350.0,-0.0074900095236119,2025-03-06 11:55:00,2025-03-06,19.8,2025-03-06 15:20:00,0.1,Final Expiry Exit,19.7
CE,22500.0,0.0,2025-03-06 12:55:00,2025-03-06,26.25,2025-03-06 15:20:00,45.2,Final Expiry Exit,-18.950000000000003
