type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
CE,74800.0,0.22915450915450636,2025-02-25 13:00:00,2025-02-25,20.8,2025-02-25 15:20:00,0.1,Final Expiry Exit,20.7
PE,74600.0,-0.27446782007318427,2025-02-25 13:00:00,2025-02-25,23.65,2025-02-25 15:20:00,3.3,Final Expiry Exit,20.349999999999998
CE,75200.0,0.30699080517036814,2025-02-27 13:00:00,2025-03-04,191.0,2025-02-27 15:20:00,194.3,Final Expiry Exit,-3.3000000000000114
PE,74200.0,-0.2857738782185894,2025-02-27 13:00:00,2025-03-04,159.85,2025-02-27 15:20:00,168.3,Final Expiry Exit,-8.450000000000017
CE,73800.0,0.30399124696491575,2025-02-28 13:00:00,2025-03-04,200.55,2025-02-28 15:20:00,223.45,Final Expiry Exit,-22.899999999999977
PE,72700.0,-0.2847061396144625,2025-02-28 13:00:00,2025-03-04,177.05,2025-02-28 15:20:00,133.8,Final Expiry Exit,43.25
CE,73500.0,0.2955503192654601,2025-03-03 13:00:00,2025-03-04,130.6,2025-03-03 15:20:00,107.5,Final Expiry Exit,23.099999999999994
PE,72800.0,-0.31666094746005113,2025-03-03 13:00:00,2025-03-04,138.75,2025-03-03 15:20:00,109.65,Final Expiry Exit,29.099999999999994
CE,73000.0,0.5424015921383974,2025-03-04 13:00:00,2025-03-04,16.95,2025-03-04 15:20:00,2.05,Final Expiry Exit,14.899999999999999
PE,72800.0,-0.10283004821027247,2025-03-04 13:00:00,2025-03-04,26.75,2025-03-04 15:20:00,0.1,Final Expiry Exit,26.65
PE,73000.0,-0.439571543928125,2025-03-04 14:25:00,2025-03-04,50.6,2025-03-04 15:20:00,5.0,Final Expiry Exit,45.6
CE,74600.0,0.30702656968499686,2025-03-06 13:00:00,2025-03-11,187.5,2025-03-06 15:20:00,280.0,Final Expiry Exit,-92.5
PE,73500.0,-0.3109353136954824,2025-03-06 13:00:00,2025-03-11,253.5,2025-03-06 15:20:00,172.7,Final Expiry Exit,80.80000000000001
CE,74800.0,0.3133332197729668,2025-03-07 13:00:00,2025-03-11,165.1,2025-03-07 15:20:00,153.0,Final Expiry Exit,12.099999999999994
PE,73900.0,-0.2913177299218577,2025-03-07 13:00:00,2025-03-11,167.9,2025-03-07 15:20:00,170.8,Final Expiry Exit,-2.9000000000000057
CE,74800.0,0.09319534084652409,2025-03-10 13:00:00,2025-03-11,74.0,2025-03-10 14:45:00,23.85,Exit for Delta Adjustment,50.15
PE,74300.0,-0.6881869485688392,2025-03-10 13:00:00,2025-03-11,125.2,2025-03-10 15:20:00,288.65,Final Expiry Exit,-163.45
CE,74400.0,0.2680064715123587,2025-03-10 14:20:00,2025-03-11,124.35,2025-03-10 15:20:00,89.85,Final Expiry Exit,34.5
CE,74200.0,0.42018047705648054,2025-03-10 14:45:00,2025-03-11,157.9,2025-03-10 15:20:00,166.85,Final Expiry Exit,-8.949999999999989
PE,73900.0,-0.17114599588692508,2025-03-11 13:00:00,2025-03-11,25.55,2025-03-11 13:25:00,16.0,Exit for Delta Adjustment,9.55
CE,74200.0,0.3195422171701351,2025-03-11 13:25:00,2025-03-11,13.95,2025-03-11 13:55:00,26.2,Exit for Delta Adjustment,-12.25
CE,74000.0,0.0,2025-03-11 13:00:00,2025-03-11,39.1,2025-03-11 15:20:00,107.75,Final Expiry Exit,-68.65
PE,73900.0,-0.10837360083767084,2025-03-11 13:10:00,2025-03-11,20.65,2025-03-11 15:20:00,0.1,Final Expiry Exit,20.549999999999997
CE,74400.0,0.10837360083767084,2025-03-11 13:55:00,2025-03-11,9.65,2025-03-11 15:20:00,0.1,Final Expiry Exit,9.55
CE,74300.0,0.310531995785411,2025-03-12 13:00:00,2025-03-18,203.0,2025-03-12 15:20:00,323.15,Final Expiry Exit,-120.14999999999998
PE,73200.0,-0.3004116683446549,2025-03-12 13:00:00,2025-03-18,218.45,2025-03-12 15:20:00,136.9,Final Expiry Exit,81.54999999999998
CE,74500.0,0.30742544262518,2025-03-13 13:00:00,2025-03-18,148.1,2025-03-13 15:20:00,106.95,Final Expiry Exit,41.14999999999999
PE,73600.0,-0.2851149376170208,2025-03-13 13:00:00,2025-03-18,164.2,2025-03-13 15:20:00,201.0,Final Expiry Exit,-36.80000000000001
CE,74400.0,0.27681168600665484,2025-03-17 13:00:00,2025-03-18,108.95,2025-03-17 15:20:00,144.7,Final Expiry Exit,-35.749999999999986
PE,73700.0,-0.30100449174027044,2025-03-17 13:00:00,2025-03-18,117.8,2025-03-17 15:20:00,80.25,Final Expiry Exit,37.55
CE,75100.0,0.9022667399985858,2025-03-18 13:00:00,2025-03-18,40.7,2025-03-18 15:00:00,101.25,Exit Max Delta Leg,-60.55
PE,74800.0,-0.027583290897888163,2025-03-18 13:00:00,2025-03-18,34.75,2025-03-18 15:20:00,0.25,Final Expiry Exit,34.5
PE,75100.0,-0.12522934867328311,2025-03-18 13:55:00,2025-03-18,43.7,2025-03-18 15:20:00,0.2,Final Expiry Exit,43.5
CE,75300.0,0.15281263957117128,2025-03-18 15:00:00,2025-03-18,4.25,2025-03-18 15:20:00,3.85,Final Expiry Exit,0.3999999999999999
CE,76200.0,0.3130678774339504,2025-03-19 13:00:00,2025-03-25,225.25,2025-03-19 15:20:00,217.0,Final Expiry Exit,8.25
PE,75000.0,-0.2905862068871296,2025-03-19 13:00:00,2025-03-25,217.3,2025-03-19 15:20:00,243.1,Final Expiry Exit,-25.799999999999983
CE,76600.0,0.31392968305102315,2025-03-20 13:00:00,2025-03-25,191.5,2025-03-20 15:20:00,281.15,Final Expiry Exit,-89.64999999999998
PE,75600.0,-0.28435099730591407,2025-03-20 13:00:00,2025-03-25,168.25,2025-03-20 15:20:00,121.5,Final Expiry Exit,46.75
CE,77600.0,0.2814493174305015,2025-03-21 13:00:00,2025-03-25,152.15,2025-03-21 15:20:00,88.5,Final Expiry Exit,63.650000000000006
PE,76600.0,-0.2895501721585656,2025-03-21 13:00:00,2025-03-25,162.0,2025-03-21 15:20:00,170.8,Final Expiry Exit,-8.800000000000011
CE,78200.0,0.320304140480587,2025-03-24 13:00:00,2025-03-25,150.4,2025-03-24 15:20:00,234.2,Final Expiry Exit,-83.79999999999998
PE,77500.0,-0.31352104270605485,2025-03-24 13:00:00,2025-03-25,151.1,2025-03-24 15:20:00,94.1,Final Expiry Exit,57.0
CE,78200.0,0.28523483755727685,2025-03-25 13:00:00,2025-03-25,49.85,2025-03-25 15:20:00,0.25,Final Expiry Exit,49.6
PE,77900.0,-0.2733936082226711,2025-03-25 13:00:00,2025-03-25,39.2,2025-03-25 15:20:00,0.35,Final Expiry Exit,38.85
CE,78600.0,0.28713328900279467,2025-03-26 13:00:00,2025-04-01,235.55,2025-03-26 15:20:00,151.3,Final Expiry Exit,84.25
PE,77200.0,-0.29018685059502225,2025-03-26 13:00:00,2025-04-01,216.0,2025-03-26 15:20:00,316.65,Final Expiry Exit,-100.64999999999998
CE,78300.0,0.30639469762416355,2025-03-27 13:00:00,2025-04-01,219.35,2025-03-27 15:20:00,224.2,Final Expiry Exit,-4.849999999999994
PE,77200.0,-0.2971803015106681,2025-03-27 13:00:00,2025-04-01,186.8,2025-03-27 15:20:00,160.25,Final Expiry Exit,26.55000000000001
CE,77800.0,0.29153786084796296,2025-03-28 13:00:00,2025-04-01,133.15,2025-03-28 15:20:00,106.7,Final Expiry Exit,26.450000000000003
PE,77000.0,-0.2920997241597097,2025-03-28 13:00:00,2025-04-01,134.3,2025-03-28 15:20:00,104.95,Final Expiry Exit,29.35000000000001
CE,76300.0,0.2940061397670005,2025-04-01 13:00:00,2025-04-01,69.9,2025-04-01 15:20:00,0.2,Final Expiry Exit,69.7
PE,75900.0,-0.28458604131080223,2025-04-01 13:00:00,2025-04-01,60.8,2025-04-01 15:20:00,0.2,Final Expiry Exit,60.599999999999994
CE,77100.0,0.3104268427335246,2025-04-02 13:00:00,2025-04-08,255.35,2025-04-02 15:20:00,292.05,Final Expiry Exit,-36.70000000000002
PE,75800.0,-0.3027798053815263,2025-04-02 13:00:00,2025-04-08,248.35,2025-04-02 15:20:00,247.8,Final Expiry Exit,0.549999999999983
CE,76900.0,0.30649349125236924,2025-04-03 13:00:00,2025-04-08,190.0,2025-04-03 15:20:00,189.0,Final Expiry Exit,1.0
PE,75800.0,-0.3010148110872576,2025-04-03 13:00:00,2025-04-08,225.1,2025-04-03 15:20:00,279.5,Final Expiry Exit,-54.400000000000006
CE,76000.0,0.286722556944096,2025-04-04 13:00:00,2025-04-08,123.0,2025-04-04 15:20:00,86.9,Final Expiry Exit,36.099999999999994
PE,75100.0,-0.3013158706754292,2025-04-04 13:00:00,2025-04-08,190.7,2025-04-04 15:20:00,238.0,Final Expiry Exit,-47.30000000000001
CE,73200.0,0.29458288751581163,2025-04-07 13:00:00,2025-04-08,342.6,2025-04-07 15:20:00,714.25,Final Expiry Exit,-371.65
PE,71200.0,-0.3262851104972053,2025-04-07 13:00:00,2025-04-08,481.95,2025-04-07 15:20:00,229.1,Final Expiry Exit,252.85
CE,75200.0,0.07957068974956899,2025-04-08 13:00:00,2025-04-08,148.85,2025-04-08 15:20:00,0.1,Final Expiry Exit,148.75
PE,74300.0,-0.5079158873502165,2025-04-08 13:00:00,2025-04-08,165.55,2025-04-08 15:20:00,78.5,Final Expiry Exit,87.05000000000001
CE,74400.0,0.42834519760064754,2025-04-08 13:50:00,2025-04-08,242.7,2025-04-08 15:20:00,0.2,Final Expiry Exit,242.5
CE,74900.0,0.30358466749879975,2025-04-09 13:00:00,2025-04-15,347.1,2025-04-09 15:20:00,410.7,Final Expiry Exit,-63.599999999999966
PE,72900.0,-0.30158717141841884,2025-04-09 13:00:00,2025-04-15,400.95,2025-04-09 15:20:00,470.5,Final Expiry Exit,-69.55000000000001
CE,76100.0,0.3044072156789247,2025-04-11 13:00:00,2025-04-15,260.2,2025-04-11 15:20:00,279.6,Final Expiry Exit,-19.400000000000034
PE,74600.0,-0.2996636862470835,2025-04-11 13:00:00,2025-04-15,296.75,2025-04-11 15:20:00,450.85,Final Expiry Exit,-154.10000000000002
CE,76900.0,0.03552900111233908,2025-04-15 13:00:00,2025-04-15,29.45,2025-04-15 15:20:00,0.15,Final Expiry Exit,29.3
PE,76700.0,-0.5574809555356932,2025-04-15 13:00:00,2025-04-15,20.5,2025-04-15 15:20:00,0.5,Final Expiry Exit,20.0
CE,76700.0,0.5219519544233542,2025-04-15 14:45:00,2025-04-15,16.6,2025-04-15 15:20:00,10.0,Final Expiry Exit,6.600000000000001
CE,77500.0,0.2926015011384838,2025-04-16 13:00:00,2025-04-22,220.65,2025-04-16 15:20:00,319.5,Final Expiry Exit,-98.85
PE,76100.0,-0.30741305672393043,2025-04-16 13:00:00,2025-04-22,294.0,2025-04-16 15:20:00,253.85,Final Expiry Exit,40.150000000000006
CE,78800.0,0.3098685869874312,2025-04-17 13:00:00,2025-04-22,221.95,2025-04-17 15:20:00,353.6,Final Expiry Exit,-131.65000000000003
PE,77400.0,-0.2898536310871601,2025-04-17 13:00:00,2025-04-22,281.9,2025-04-17 15:20:00,196.55,Final Expiry Exit,85.34999999999997
CE,82600.0,0.289995404090963,2024-10-14 13:00:00,2024-10-18,200.5,2024-10-14 15:20:00,196.0,Final Expiry Exit,4.5
PE,81400.0,-0.30083646370509176,2024-10-14 13:00:00,2024-10-18,215.5,2024-10-14 15:20:00,211.2,Final Expiry Exit,4.300000000000011
CE,82300.0,0.30907379782768307,2024-10-15 13:00:00,2024-10-18,196.3,2024-10-15 15:20:00,199.3,Final Expiry Exit,-3.0
PE,81300.0,-0.31350666393745075,2024-10-15 13:00:00,2024-10-18,210.8,2024-10-15 15:20:00,190.25,Final Expiry Exit,20.55000000000001
CE,82000.0,0.28717344279115675,2024-10-16 13:00:00,2024-10-18,159.35,2024-10-16 15:20:00,174.15,Final Expiry Exit,-14.800000000000011
PE,81000.0,-0.2924969262014755,2024-10-16 13:00:00,2024-10-18,168.8,2024-10-16 15:20:00,126.4,Final Expiry Exit,42.400000000000006
CE,81400.0,0.32211543383216745,2024-10-17 13:00:00,2024-10-18,146.15,2024-10-17 15:20:00,120.0,Final Expiry Exit,26.150000000000006
PE,80800.0,-0.3243767122551203,2024-10-17 13:00:00,2024-10-18,128.85,2024-10-17 15:20:00,141.6,Final Expiry Exit,-12.75
CE,81400.0,0.2911266788239838,2024-10-18 13:00:00,2024-10-18,53.1,2024-10-18 15:20:00,0.15,Final Expiry Exit,52.95
PE,81100.0,-0.3099475445908233,2024-10-18 13:00:00,2024-10-18,56.2,2024-10-18 15:20:00,0.3,Final Expiry Exit,55.900000000000006
CE,81600.0,0.30581364934472355,2024-10-21 13:00:00,2024-10-25,223.0,2024-10-21 15:20:00,256.6,Final Expiry Exit,-33.60000000000002
PE,80300.0,-0.2943522285979098,2024-10-21 13:00:00,2024-10-25,248.85,2024-10-21 15:20:00,183.15,Final Expiry Exit,65.69999999999999
CE,81300.0,0.31152305498746546,2024-10-22 13:00:00,2024-10-25,232.35,2024-10-22 15:20:00,152.65,Final Expiry Exit,79.69999999999999
PE,80100.0,-0.2967498369428173,2024-10-22 13:00:00,2024-10-25,221.5,2024-10-22 15:20:00,353.8,Final Expiry Exit,-132.3
CE,81000.0,0.31645797526015185,2024-10-23 13:00:00,2024-10-25,198.55,2024-10-23 15:20:00,92.45,Final Expiry Exit,106.10000000000001
