DateTime,CE pnl,PE pnl,PnL Combined
2021-06-10 09:30:00,0.0,0.0,0.0
2021-06-10 09:31:00,-330.0,326.25,-3.75
2021-06-10 09:32:00,-360.0,453.75,93.75
2021-06-10 09:33:00,-637.5,832.5,195.0
2021-06-10 09:34:00,-585.0,757.5,172.5
2021-06-10 09:35:00,-712.5,832.5,120.0
2021-06-10 09:36:00,-712.5,911.25,198.75
2021-06-10 09:37:00,-641.25,810.0,168.75
2021-06-10 09:38:00,-821.25,1008.75,187.5
2021-06-10 09:39:00,-870.0,1046.25,176.25
2021-06-10 09:40:00,-1158.75,1286.25,127.5
2021-06-10 09:41:00,-1076.25,1233.75,157.5
2021-06-10 09:42:00,-806.25,1177.5,371.25
2021-06-10 09:43:00,-1016.25,1218.75,202.5
2021-06-10 09:44:00,-562.5,892.5,330.0
2021-06-10 09:45:00,-900.0,1098.75,198.75
2021-06-10 09:46:00,-1038.75,1218.75,180.0
2021-06-10 09:47:00,-892.5,1121.25,228.75
2021-06-10 09:48:00,-1068.75,1297.5,228.75
2021-06-10 09:49:00,-663.75,1076.25,412.5
2021-06-10 09:50:00,-675.0,993.75,318.75
2021-06-10 09:51:00,-806.25,1211.25,405.0
2021-06-10 09:52:00,-401.25,945.0,543.75
2021-06-10 09:53:00,-588.75,1031.25,442.5
2021-06-10 09:54:00,-506.25,1012.5,506.25
2021-06-10 09:55:00,-558.75,1098.75,540.0
2021-06-10 09:56:00,-626.25,1185.0,558.75
2021-06-10 09:57:00,-622.5,1151.25,528.75
2021-06-10 09:58:00,-626.25,1196.25,570.0
2021-06-10 09:59:00,-630.0,1158.75,528.75
2021-06-10 10:00:00,-716.25,1275.0,558.75
2021-06-10 10:01:00,-851.25,1425.0,573.75
2021-06-10 10:02:00,-555.0,1188.75,633.75
2021-06-10 10:03:00,-292.5,941.25,648.75
2021-06-10 10:04:00,-333.75,1016.25,682.5
2021-06-10 10:05:00,-311.25,952.5,641.25
2021-06-10 10:06:00,-150.0,810.0,660.0
2021-06-10 10:07:00,-435.0,1113.75,678.75
2021-06-10 10:08:00,-307.5,1008.75,701.25
2021-06-10 10:09:00,-318.75,986.25,667.5
2021-06-10 10:10:00,-266.25,956.25,690.0
2021-06-10 10:11:00,-210.0,825.0,615.0
2021-06-10 10:12:00,-281.25,960.0,678.75
2021-06-10 10:13:00,-273.75,948.75,675.0
2021-06-10 10:14:00,-311.25,1061.25,750.0
2021-06-10 10:15:00,-360.0,1091.25,731.25
2021-06-10 10:16:00,-487.5,1218.75,731.25
2021-06-10 10:17:00,-551.25,1293.75,742.5
2021-06-10 10:18:00,-453.75,1173.75,720.0
2021-06-10 10:19:00,-528.75,1237.5,708.75
2021-06-10 10:20:00,-495.0,1218.75,723.75
2021-06-10 10:21:00,-423.75,1241.25,817.5
2021-06-10 10:22:00,-558.75,1308.75,750.0
2021-06-10 10:23:00,-555.0,1308.75,753.75
2021-06-10 10:24:00,-1012.5,1672.5,660.0
2021-06-10 10:25:00,-1196.25,1736.25,540.0
2021-06-10 10:26:00,-960.0,1582.5,622.5
2021-06-10 10:27:00,-1297.5,1762.5,465.0
2021-06-10 10:28:00,-1252.5,1747.5,495.0
2021-06-10 10:29:00,-1256.25,1785.0,528.75
2021-06-10 10:30:00,-1155.0,1740.0,585.0
2021-06-10 10:31:00,-855.0,1638.75,783.75
2021-06-10 10:32:00,-975.0,1683.75,708.75
2021-06-10 10:33:00,-997.5,1713.75,716.25
2021-06-10 10:34:00,-1151.25,1766.25,615.0
2021-06-10 10:35:00,-1057.5,1732.5,675.0
2021-06-10 10:36:00,-971.25,1698.75,727.5
2021-06-10 10:37:00,-768.75,1627.5,858.75
2021-06-10 10:38:00,-821.25,1638.75,817.5
2021-06-10 10:39:00,-858.75,1691.25,832.5
2021-06-10 10:40:00,-941.25,1725.0,783.75
2021-06-10 10:41:00,-1065.0,1777.5,712.5
2021-06-10 10:42:00,-933.75,1725.0,791.25
2021-06-10 10:43:00,-1020.0,1755.0,735.0
2021-06-10 10:44:00,-1136.25,1822.5,686.25
2021-06-10 10:45:00,-1200.0,1916.25,716.25
2021-06-10 10:46:00,-1222.5,1901.25,678.75
2021-06-10 10:47:00,-1005.0,1822.5,817.5
2021-06-10 10:48:00,-1005.0,1792.5,787.5
2021-06-10 10:49:00,-1046.25,1815.0,768.75
2021-06-10 10:50:00,-1068.75,1833.75,765.0
2021-06-10 10:51:00,-1016.25,1826.25,810.0
2021-06-10 10:52:00,-1023.75,1837.5,813.75
2021-06-10 10:53:00,-1072.5,1852.5,780.0
2021-06-10 10:54:00,-1132.5,1863.75,731.25
2021-06-10 10:55:00,-1113.75,1856.25,742.5
2021-06-10 10:56:00,-945.0,1740.0,795.0
2021-06-10 10:57:00,-1050.0,1807.5,757.5
2021-06-10 10:58:00,-1095.0,1845.0,750.0
2021-06-10 10:59:00,-1080.0,1852.5,772.5
2021-06-10 11:00:00,-1170.0,1946.25,776.25
2021-06-10 11:01:00,-1237.5,2010.0,772.5
2021-06-10 11:02:00,-1147.5,1968.75,821.25
2021-06-10 11:03:00,-1027.5,1871.25,843.75
2021-06-10 11:04:00,-1027.5,1871.25,843.75
2021-06-10 11:05:00,-761.25,1725.0,963.75
2021-06-10 11:06:00,-307.5,1488.75,1181.25
2021-06-10 11:07:00,-382.5,1575.0,1192.5
2021-06-10 11:08:00,-247.5,1432.5,1185.0
2021-06-10 11:09:00,-311.25,1451.25,1140.0
2021-06-10 11:10:00,-300.0,1447.5,1147.5
2021-06-10 11:11:00,-176.25,1346.25,1170.0
2021-06-10 11:12:00,15.0,1237.5,1252.5
2021-06-10 11:13:00,-165.0,1410.0,1245.0
2021-06-10 11:14:00,-206.25,1398.75,1192.5
2021-06-10 11:15:00,-153.75,1372.5,1218.75
2021-06-10 11:16:00,-135.0,1323.75,1188.75
2021-06-10 11:17:00,-401.25,1567.5,1166.25
2021-06-10 11:18:00,-352.5,1515.0,1162.5
2021-06-10 11:19:00,-360.0,1537.5,1177.5
2021-06-10 11:20:00,-378.75,1548.75,1170.0
2021-06-10 11:21:00,-510.0,1740.0,1230.0
2021-06-10 11:22:00,-401.25,1616.25,1215.0
2021-06-10 11:23:00,-465.0,1676.25,1211.25
2021-06-10 11:24:00,-513.75,1710.0,1196.25
2021-06-10 11:25:00,-532.5,1758.75,1226.25
2021-06-10 11:26:00,-528.75,1777.5,1248.75
2021-06-10 11:27:00,-487.5,1717.5,1230.0
2021-06-10 11:28:00,-483.75,1740.0,1256.25
2021-06-10 11:29:00,-506.25,1781.25,1275.0
2021-06-10 11:30:00,-326.25,1646.25,1320.0
2021-06-10 11:31:00,-450.0,1785.0,1335.0
2021-06-10 11:32:00,-457.5,1781.25,1323.75
2021-06-10 11:33:00,-337.5,1698.75,1361.25
2021-06-10 11:34:00,-457.5,1848.75,1391.25
2021-06-10 11:35:00,-517.5,1833.75,1316.25
2021-06-10 11:36:00,-648.75,1916.25,1267.5
2021-06-10 11:37:00,-757.5,1901.25,1143.75
2021-06-10 11:38:00,-712.5,1901.25,1188.75
2021-06-10 11:39:00,-663.75,1878.75,1215.0
